                                                                                      |                                          -                                           |                                         int                                          |                                          ==                                          |                                          {                                           |                                          )                                           |                                        ident                                         |                                          =                                           |                                     int_constant                                     |                                          <=                                          |                                          !=                                          |                                          (                                           |                                          ;                                           |                                         read                                         |                                          $                                           |                                          ]                                           |                                          >=                                          |                                          }                                           |                                         else                                         |                                        return                                        |                                          /                                           |                                         for                                          |                                          +                                           |                                         def                                          |                                          ,                                           |                                          if                                          |                                   string_constant                                    |                                          >                                           |                                          <                                           |                                    float_constant                                    |                                        float                                         |                                        print                                         |                                         new                                          |                                          ∗                                           |                                          [                                           |                                        string                                        |                                        break                                         |                                         null                                         |                                          %                                           |
                                      DATATYPE                                        |                                         None                                         |                                   DATATYPE  -> int                                   |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                  DATATYPE  -> float                                  |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                 DATATYPE  -> string                                  |                                         None                                         |                                         None                                         |                                         None                                         |
                                       READSTAT                                       |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |
                                      STATELIST                                       |                                         None                                         |                  STATELIST  -> int ident OPT_VECTOR ; OPT_STATELIST                  |                                         None                                         |                      STATELIST  -> { STATELIST } OPT_STATELIST                       |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                            STATELIST  -> ; OPT_STATELIST                             |                      STATELIST  -> read LVALUE ; OPT_STATELIST                       |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                         STATELIST  -> return ; OPT_STATELIST                         |                                         None                                         |   STATELIST  -> for ( ATRIBSTAT ; EXPRESSION ; ATRIBSTAT ) STATEMENT OPT_STATELIST   |                                         None                                         |                                         None                                         |                                         None                                         |           STATELIST  -> if ( EXPRESSION ) STATEMENT OPT_ELSE OPT_STATELIST           |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                 STATELIST  -> float ident OPT_VECTOR ; OPT_STATELIST                 |                    STATELIST  -> print EXPRESSION ; OPT_STATELIST                    |                                         None                                         |                                         None                                         |                                         None                                         |                STATELIST  -> string ident OPT_VECTOR ; OPT_STATELIST                 |                         STATELIST  -> break ; OPT_STATELIST                          |                                         None                                         |                                         None                                         |
                                       FUNCDEF                                        |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |
                                        IFSTAT                                        |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |
                                   ALLOCEXPRESSION                                    |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |         ALLOCEXPRESSION  -> new DATATYPE [ NUMEXPRESSION ] OPT_ALLOC_NUMEXP          |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |
                                      OPT_VECTOR                                      |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |
                                      UNARYEXPR                                       |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |
                                      PRINTSTAT                                       |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                            PRINTSTAT  -> print EXPRESSION                            |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |
                                        FACTOR                                        |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |
                                    NUMEXPRESSION                                     |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |
                                        TERM                                          |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |
                                 OPT_REL_OP_NUM_EXPR                                  |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |
                                       FORSTAT                                        |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |
